itrdb_species_code,species_name,scientific_aliases,common_names,phylogenetic_group,leaf_habit,tree_ring_structure
ABAL,Abies alba Mill.,[],"[""silver fir"", ""European silver fir""]",gymnosperm,evergreen,non-porous
ABAM,Abies amabilis Douglas ex J. Forbes,[],"[""Pacific silver fir""]",gymnosperm,evergreen,non-porous
ABBA,Abies balsamea (L.) Mill.,[],"[""balsam fir""]",gymnosperm,evergreen,non-porous
ABBI,Abies bifolia A.Murray,[],"[""Rocky Mountain alpine fir""]",gymnosperm,evergreen,non-porous
ABBO,Abies borisii-regis Mattf.,[],"[""Bulgarian fir"", ""King Boris fir""]",gymnosperm,evergreen,non-porous
ABBN,Abies bornmulleriana Mattf.,[],"[""Bornmuller's fir""]",gymnosperm,evergreen,non-porous
ABBR,Abies bracteata (D.Don) Nutt.,[],"[""bristlecone fir""]",gymnosperm,evergreen,non-porous
ABCE,Abies cephalonica Loudon,[],"[""Greek fir""]",gymnosperm,evergreen,non-porous
ABCH,Abies cheniensis van Tiegh,[],"[""Chensien fir""]",gymnosperm,evergreen,non-porous
ABCI,Abies cilicica (Ant. et Kotschy) Carr.,[],"[""Cilician fir""]",gymnosperm,evergreen,non-porous
ABCO,Abies concolor (Gordon) Lindl. ex Hildebr.,[],"[""white fir""]",gymnosperm,evergreen,non-porous
ABDE,Abies densa Griff.,[],"[""Sikkim fir""]",gymnosperm,evergreen,non-porous
ABDU,Abies durangensis Martínez,[],"[""Durango Fir""]",gymnosperm,evergreen,non-porous
ABEQ,Abies equi-trojani Aschers. et Sint.,[],[],gymnosperm,evergreen,non-porous
ABFX,Abies faxoniana,[],[],gymnosperm,evergreen,non-porous
ABFI,Abies firma Sieb. et Zucc.,[],"[""Japanese fir"", ""Momi fir""]",gymnosperm,evergreen,non-porous
ABFO,Abies forestii Rogers,[],"[""Chinese fir""]",gymnosperm,evergreen,non-porous
ABFR,Abies fraseri (Pursh) Poir.,[],"[""Fraser fir""]",gymnosperm,evergreen,non-porous
ABGR,Abies grandis (Dougl. ex D. Don) Lindl.,[],"[""grand fir"", ""giant fir""]",gymnosperm,evergreen,non-porous
ABHO,Abies holophylla Maxim.,[],"[""Manchurian fir""]",gymnosperm,evergreen,non-porous
ABKA,Abies kawakamii (Hayata) Ito,[],"[""Taiwan fir""]",gymnosperm,evergreen,non-porous
ABKO,Abies koreana Wils.,[],"[""Korean fir""]",gymnosperm,evergreen,non-porous
ABLA,Abies lasiocarpa (Hook.) Nutt.,[],"[""subalpine fir"", ""corkbark fir""]",gymnosperm,evergreen,non-porous
ABMA,Abies magnifica A. Murray,[],"[""California red fir""]",gymnosperm,evergreen,non-porous
ABMR,Abies mariessi Mast.,[],"[""Marie's fir""]",gymnosperm,evergreen,non-porous
ABMC,Abies marocana Trabut.,[],"[""Moroccan fir""]",gymnosperm,evergreen,non-porous
ABNB,Abies nebrodensis (Lojac.) Mattei,[],"[""Sicilian fir""]",gymnosperm,evergreen,non-porous
ABNE,Abies nephrolepis Maxim.,[],"[""East Siberian fir""]",gymnosperm,evergreen,non-porous
ABNO,Abies nordmanniana (Steven) Spach,[],"[""Caucasian fir""]",gymnosperm,evergreen,non-porous
ABNU,Abies numidica De Lannoy ex. Carr.,[],"[""Algerian fir""]",gymnosperm,evergreen,non-porous
ABPI,Abies pindrow (Royle ex D. Don) Royle,[],"[""Himalayan silver fir"", ""West Himalayan fir""]",gymnosperm,evergreen,non-porous
ABPN,Abies pinsapo Boiss.,[],"[""Spanish fir""]",gymnosperm,evergreen,non-porous
ABPR,Abies procera Rehder,[],"[""noble fir""]",gymnosperm,evergreen,non-porous
ABRC,Abies recurvata Mast.,[],"[""Min fir""]",gymnosperm,evergreen,non-porous
ABRE,Abies religiosa Schlecht.,[],"[""Mexican fir"", ""sacred fir""]",gymnosperm,evergreen,non-porous
ABSA,Abies sachalinensis var. mayriana Mirabe & Kudo,[],"[""Sachalin fir"", ""todo""]",gymnosperm,evergreen,non-porous
ABSI,Abies sibirica Ledeb.,[],"[""Siberian fir""]",gymnosperm,evergreen,non-porous
ABSB,Abies spectabilis (D. Don) Spach,[],"[""silver fir"", ""East Himalayan fir""]",gymnosperm,evergreen,non-porous
ABSP,Abies spp. Mill.,[],"[""fir""]",gymnosperm,evergreen,non-porous
ABSQ,Abies squamata Mast.,[],"[""Flaky fir""]",gymnosperm,evergreen,non-porous
ABVE,Abies vejarii,[],"[""Vejar's fir""]",gymnosperm,evergreen,non-porous
ABVI,Abies vietchii Lindl.,[],"[""Vietch's silver fir""]",gymnosperm,evergreen,non-porous
ACAL,Acacia alpina F.Muell.,[],[],,,
ACGI,Acacia giraffae,[],[],,,
ACHO,Acacia hotwittii,[],[],,,
ACME,Acacia melanoxylon R.Br.,[],"[""blackwood""]",,,
ACNI,Acacia nilotica (L.) Willd. ex Delile,[],"[""gum arabic tree""]",,,
ACRA,Acacia raddiana,[],[],,,
ACCA,Acer campestre L.,[],"[""hedge maple"", ""field maple"", ""feldahorn""]",,,
ACMA,Acer macrophyllum Pursh,[],"[""Oregon maple"", ""Pacific maple"", ""Bigleaf maple""]",,,
ACMO,Acer mono Maxim.,[],"[""maple""]",,,
ACNE,Acer negundo L.,[],"[""boxelder"", ""ash-leaved maple""]",,,
ACOP,Acer opalus Mill.,[],"[""Italian maple""]",,,
ACPE,Acer pensylvanicum L.,[],"[""striped maple""]",,,
ACPL,Acer platanoides L.,[],"[""Norway maple""]",,,
ACPS,Acer pseudoplatanus L.,[],"[""sycamore maple"", ""plane tree""]",,,
ACRU,Acer rubrum L.,[],"[""red maple""]",,,
ACSA,Acer saccharinum L.,[],"[""silver maple""]",,,
ACSH,Acer saccharum Marsh.,[],"[""sugar maple""]",,,
ACSC,Acer spicatum Lam.,[],"[""mountain maple""]",,,
ACSP,Acer spp. L.,[],"[""maple""]",angiosperm,deciduous,diffuse-porous
ACTU,Acer turkestanica Pax,[],[],,,
ASCA,Acosmium cardenasii H.S.Irwin & Arroyo,[],[],,,
ADDI,Adansonia digitata,[],"[""baobab"", ""monkey bread tree""]",,,
ADFA,Adenostoma fasciculatum,[],"[""chamise""]",,,
ADHO,Adesmia horrida Gill.,[],[],,,
ADUS,Adesmia uspallatensis Gill.,[],[],,,
AEHI,Aesculus hippocastanum L.,[],"[""horse chestnut""]",,,
AEPU,Aextoxicon punctatum,[],"[""olivillo"", ""tique""]",,,
AFAF,Afzelia africana,[],[],,,
AFQU,Afzelia quanzensis Welw.,[],"[""afzelia mambokofi"", ""chanfuta"", ""mbembakofi""]",,,
AGAU,Agathis australis (D. Don) Loudon,[],"[""kauri pine""]",,,
AGMA,Agathis macrophylla,[],"[""Fijian kauri""]",,,
AGMO,Agathis moorei Mast.,[],[],,,
AGOV,Agathis ovata Warb.,[],"[""kauri""]",,,
AGPA,Agathis palmerstoni,[],[],,,
AGRO,Agathis robusta (C. Moore ex F. Muell) Bailey,[],"[""kauri pine""]",,,
AGVI,Agathis vitiensis (Seeman) Benth. & Hook.f. ex Drake,[],[],,,
AIAL,Ailanthus altissima (Mill.) Swingle,[],"[""Tree of Heaven""]",,,
ALTR,Alchornea triplinervia (Spreng.) Müll.Arg.,[],[],,,
ALVE,Allocasuarina verticillata (Lam.) L.A.S. Johnson,"[""Casuarina verticillata Lam.""]",[],,,
ALAC,Alnus acuminata Kunth,[],[],,,
ALGL,Alnus glutinosa (L.) Gaertn.,[],"[""common alder"", ""European alder"", ""black alder""]",,,
ALHI,Alnus hirsuta (Spach.) Rupr.,[],[],,,
ALIN,Alnus incana (L.) Moench,[],"[""grey alder"", ""white alder""]",,,
ALMA,Alnus maximowiczii Call.,[],[],,,
ALRH,Alnus rhombifolia Nutt.,[],"[""white alder""]",,,
ALRU,Alnus rubra Bong.,[],"[""red alder""]",,,
ALRG,Alnus rugosa (Du Roi) Spreng.,[],"[""speckled alder"", ""rough alder""]",,,
ALSE,Alnus serrulata (Ait.) Willd.,[],"[""hazel alder""]",,,
ALSI,Alnus sinuata (Regel.) Rydb,[],"[""Sitka alder""]",,,
ALSP,Alnus spp. Mill.,[],"[""alder""]",,,
ALVI,Alnus viridis (Chaix) DC. in Lam. & DC.,[],"[""green alder""]",,,
ALCR,Alnus viridis var. crispa (Ait.) Turrill,[],"[""American green alder""]",,,
AMSP,Amelanchier Medik.,[],"[""serviceberry""]",,,
AMOV,Amelanchier ovalis M.,[],[],,,
AMLU,Amomyrtus luma (Mol.) Legr. et Kaus.,[],"[""luma""]",,,
ADCO,Anadenanthera colubrina var. cebil (Griseb.) Altschul,"[""Anadenanthera macrocarpa (Benth.) Brenan""]",[],,,
ANCO,Andira coriacea Pulle,[],"[""Saint Martin rouge""]",,,
ANSP,Annona spraguei,[],[],,,
ARAN,Araucaria angustifolia (Bertol.) Kuntze,[],"[""Parana araucaria"", ""Parana pine"", ""candelabra tree""]",,,
ARAR,Araucaria araucana (Molina) K. Koch,[],"[""monkey puzzle"", ""araucaria"", ""pehuen""]",,,
ARBI,Araucaria bidwilli Hook.,[],"[""bunya pine"", ""bunya""]",,,
ARCU,Araucaria cunninghamii Aiton ex D. Don,[],"[""hoop pine"", ""Moreton bay pine"", ""colonial pine""]",,,
ARHE,Araucaria heterophylla (Salisb.) Franco,[],"[""Norfolk Island pine""]",,,
ARHU,Araucaria hunsteinii,[],"[""Klinki pine""]",,,
ARSP,Araucaria spp. A.L. Jussieu,[],[],,,
ARGL,Arctostaphylos glauca Lindl.,[],"[""bigberry manzanita""]",,,
ARTR,Artemisia tridentata Nutt.,[],"[""big sagebrush""]",,,
ASTO,Aspidosperma tomentosum Mart.,[],"[""Jichituriqui amarillo""]",,,
ATCU,Athrotaxis cupressoides D. Don,[],"[""pencil pine"", ""smooth Tasmanian cedar""]",,,
ATSE,Athrotaxis selaginoides D. Don,[],"[""King Billy pine""]",,,
AUKL,Aucoumea klaineana Pierre,[],"[""okoume""]",,,
AUCH,Austrocedrus chilensis (D. Don) Pic. Serm. & Bizzarri,[],"[""Chilean cedar"", ""cipres de la cordillera"", ""Chilean incense cedar""]",,,
AVMA,Avicennia marina (Forssk.) Vierh.,[],"[""gray mangrove"", ""white mangrove""]",,,
BAPL,Baikiaea plurijuga Harms,[],"[""Zambezi teak""]",,,
BAAE,Balanites aegyptiacam,[],"[""Jericho balsam""]",,,
BLTA,Beilschmiedia tawa (A. Cunn.) Benth. et Hook.f.,[],"[""ex Kirktawa""]",,,
BBVU,Berberis vulgaria L.,[],"[""common barberry""]",,,
BTEX,Bertholletia excelsa,[],[],,,
BEAB,Betula albosinensis Burk.,[],"[""Chinese birch""]",angiosperm,deciduous,diffuse-porous
BEAL,Betula alleghaniensis Britton,[],"[""yellow birch""]",angiosperm,deciduous,diffuse-porous
BEER,Betula ermanii Cham.,[],[],angiosperm,deciduous,diffuse-porous
BEGL,Betula glangulosa Michx.,[],[],angiosperm,deciduous,diffuse-porous
BEGR,Betula grossa Sieb. & Zucc.,[],"[""Japanese cherry birch""]",angiosperm,deciduous,diffuse-porous
BELE,Betula lenta L.,[],"[""sweet birch"", ""black birch""]",angiosperm,deciduous,diffuse-porous
BENI,Betula nigra L.,[],"[""river birch""]",angiosperm,deciduous,diffuse-porous
BEPA,Betula papyrifera Marsh.,[],"[""paper birch""]",angiosperm,deciduous,diffuse-porous
BEAK,Betula papyrifera var. neoalaskana (Sarg.) Raup,[],"[""Alaska paper birch""]",angiosperm,deciduous,diffuse-porous
BEPE,Betula pendula Roth,"[""Betula verrucosa Ehrl.""]","[""European white birch"", ""silver birch""]",angiosperm,deciduous,diffuse-porous
BEPL,Betula platyphylla,[],[],angiosperm,deciduous,diffuse-porous
BEPO,Betula populifolia Marsh.,[],"[""gray birch""]",angiosperm,deciduous,diffuse-porous
BEPU,Betula pubescens Ehrh.,"[""Betula carpatica Walldst.& Kit.ex Willd.""]","[""downy birch"", ""mountain birch"", ""white birch""]",angiosperm,deciduous,diffuse-porous
BESP,Betula spp. L.,[],"[""birch""]",angiosperm,deciduous,diffuse-porous
BEUT,Betula utilis D.Don,[],"[""Himalayan birch""]",angiosperm,deciduous,diffuse-porous
BEVE,Betula verrucosa Ehrl.,"[""Betula pendula Roth""]","[""silver birch"", ""European white birch""]",angiosperm,deciduous,diffuse-porous
BOQU,Bombacopsis quinata (Jaqu.) Dugand,[],[],,,
BOMA,Bombax malabaricum DC.,[],"[""semul ngiu"", ""ngiew"", ""gon run do""]",,,
BRSP,Brachystegia spiciformis Benth.,[],[],,,
BUGR,Bursera graveolens (Kunth) Triana & Planch.,[],"[""palo santo""]",,,
BUSI,Bursera simaruba (L.) Sarg.,[],"[""West-Indian birch"", ""gumbo-limbo""]",,,
BUSE,Buxus sempervirens L.,[],"[""common box""]",,,
CACO,Callitris columellaria F. Muell.,[],"[""cypress pine""]",,,
CAIN,Callitris intratropica R. Baker & H.G. Smith,[],"[""cypress pine""]",,,
CAMA,Callitris macleayana F. Muell,[],"[""brush cypress pine""]",,,
CAPR,Callitris preissii Miq.,[],"[""Rottnest Island Pine""]",,,
CARO,Callitris robusta (A. Cunn. ex Parl.) F.M. Bailey,"[""Callitris preissii Miq.""]","[""Rottnest Island pine""]",,,
CASP,Callitris spp. Ventenat,[],[],,,
CADE,Calocedrus decurrens (Torr.) Florin,"[""Libocedrus decurrens Torr.""]","[""California incense cedar""]",,,
CABU,Canthium burttii,[],"[""canthium""]",,,
CASC,Capparis scabrida Kunth,"[""Capparis angulata Ruiz & Pav. ex DC.""]","[""sapote""]",,,
CAPC,Carapa procera C.DC.,[],"[""carapa""]",,,
CPBE,Carpinus betulus L.,[],"[""hornbeam""]",,,
CYCO,Carya cordoformis (Wangenh.) K. Koch,[],"[""bitternut hickory""]",,,
CYGL,Carya glabra (Mill.) Sweet,[],"[""pignut hickory""]",,,
CYIL,Carya illinoensis (Wagenh.) K. Koch,[],"[""pecan""]",,,
CYOV,Carya ovata (Mill.) K. Koch,[],"[""shagbark hickory""]",,,
CYSP,Carya spp. L.,[],"[""hickory""]",,,
CYTE,Carya texana Buckley,[],"[""black hickory""]",,,
CYTO,Carya tomentosa (Poir.) Nutt.,[],"[""mockernut hickory""]",,,
CAGL,Caryocar glabrum Aubl.,[],"[""chawari""]",,,
CACR,Castanea crenata Sieb. et Zucc.,[],"[""Japanese chestnut""]",,,
CADN,Castanea dentata (Marsh.) Borkh.,[],"[""American Chestnut""]",,,
CASA,Castanea sativa Mill.,[],"[""sweet chestnut"", ""European chestnut""]",angiosperm,deciduous,ring-porous
CSLI,Casuarina litoralis Salisb.,[],"[""black she-oak""]",,,
CTSP,Catalpa speciosa Warder ex Engelm.,[],"[""northern catalpa""]",,,
CNCR,Ceanothus crassifolius Torr.,[],"[""hoaryleaf ceanothus""]",,,
CEAN,Cedrela angustifolia Sesse & Mocino ex DC.,"[""Cedrela balansae C. DC.""]","[""cedro salteno""]",,,
CEFI,Cedrela fissilis Vell.,[],[],,,
CELI,Cedrela lilloi C. DC.,[],[],,,
CENE,Cedrela nebulosa T.D.Penn & Daza,[],[],,,
CEOD,Cedrela odorata L.,[],[],,,
CESA,Cedrela salvadorensis Standl.,[],[],,,
CESP,Cedrela spp.,[],[],,,
CETO,Cedrela toona Roxb.,[],[],,,
CDAT,Cedrus atlantica (Endl.) Manetti ex Carrière,[],"[""Atlantic cedar"", ""Atlas cedar""]",,,
CDBR,Cedrus brevifolia Henry,"[""Cedrus libani var.brevifolia""]","[""Cyprian cedar""]",,,
CDDE,Cedrus deodara (D. Don) G. Don,[],"[""deodar cedar"", ""Himalayan cedar""]",,,
CDLI,Cedrus libani A. Rich.,[],"[""Cedar of Lebanon""]",,,
CDSP,Cedrus spp. Trew,[],"[""cedar""]",,,
CLCA,Celtis caucasica Willd.,[],"[""Caucasian nettle tree""]",,,
CLLA,Celtis laevigata Willd.,[],"[""sugarberry""]",,,
CLOC,Celtis occidentalis L.,[],"[""hackberry""]",,,
CLRE,Celtis reticulata Torr.,[],"[""netleaf hackberry""]",,,
CLSP,Celtis spp. L.,[],"[""hackberry""]",,,
CNPL,Cenostigma pluviosum (DC.) Gagnon & G.P.Lewis,"[""Caesalpinia pluviosa DC.""]",[],,,
CEMC,Centrolobium microchaete (Benth.) H.C. Lima,[],"[""Canary wood""]",,,
CEOC,Cephalanthus occidentalis L.,[],"[""buttonbush""]",,,
CEMI,Cercidium microphyllum (Torr.) Rose & Johnst.,[],"[""yellow paloverde""]",,,
CRBE,Cercocarpus betuloides Nutt.,[],"[""birchleaf mountain-mahogany""]",,,
CRLE,Cercocarpus ledifolius Nutt.,[],"[""curlleaf mountain-mahogany""]",,,
CRMO,Cercocarpus montanus Raf.,[],"[""alderleaf cercocarpus""]",,,
CRSP,Cercocarpus spp. H.B.K.,[],"[""cercocarpus""]",,,
CHFO,Chamaecyparis formosensis Matsum.,[],"[""Formosan false cypress"", ""Taiwan red cypress""]",,,
CHLA,Chamaecyparis lawsoniana (A. Murray bis) Parl.,[],"[""Port Orford cedar""]",,,
CHNO,Chamaecyparis nootkatensis (D. Don) Spach,[],"[""Alaska yellow-cedar"", ""Nootka cypress""]",,,
CHOB,Chamaecyparis obtusa (Sieb. & Zucc.) Endl.,[],"[""hinoki cypress"", ""Formosan cypress""]",,,
CHPI,Chamaecyparis pisifera Sieb. & Zucc.,[],"[""sawara cypress""]",,,
CHTH,Chamaecyparis thyoides (L.) B.S.P.,[],"[""Atlantic white-cedar""]",,,
CLEX,Chlorophora excelsa,[],[],,,
CHSP,Chorisia speciosa St. Hil.,[],[],,,
CKTA,Chukrasia tabularis A.Juss.,[],[],,,
CIFR,Citharexylum fruticosum L.,[],"[""Florida fiddlewood""]",,,
COCO,Copaifera coleosprema,[],[],,,
COAP,Cordia apurensis Agostini,[],[],,,
COBI,Cordia bicolorA.DC.,[],[],,,
COEL,Cordia elaeagnoides DC.,[],[],,,
COTR,Cordia trichotoma Vell.,[],[],,,
COAL,Corida alliodora (Ruiz. & Pav.) Cham.,[],[],,,
COFL,Cornus florida L.,[],"[""flowering dogwood""]",,,
CONU,Cornus nuttallii Audubon ex Torr. & A.Gray,[],"[""Pacific Dogwood""]",,,
COSA,Cornus sanguinea,[],[],,,
COSP,Cornus spp. L.,[],"[""dogwood""]",,,
COAV,Corylus avellana L.,[],"[""common hazel""]",,,
COSI,Corylus sieboldiana blume,[],"[""hazel""]",,,
CTCO,Cotinus coggygria Scop.,[],"[""European Smoketree""]",,,
CRAZ,Crataegus azarolus L.,[],"[""azarole""]",,,
CMJA,Cryptomeria japonica (Thunb. ex L.f.) D. Don,[],"[""Japanese cedar"", ""sugi"", ""cryptomeria""]",,,
CUAZ,Cupressus arizonica Greene,[],"[""Arizona cypress""]",,,
CUAT,Cupressus atlantica Gaussen,[],"[""Atlas cypress""]",,,
CUCH,Cupressus chengiana S.Y.Hu,[],"[""min jiang bai mu""]",,,
CUDU,Cupressus dupreziana,[],[],,,
CUGI,Cupressus gigantea,[],[],,,
CUGL,Cupressus glabra Sudworth,[],"[""smooth Arizona cypress""]",,,
CULU,Cupressus lusitanica Mill.,"[""Cupressus lindleyi Klotzsch.""]","[""Mexican cypress""]",,,
CUSE,Cupressus sempervirens L.,[],"[""Italian cypress"", ""Mediterranean cypress""]",,,
CYRA,Cyrilla racemiflora L.,[],"[""swamp cyrilla"", ""leatherwood""]",,,
DADA,Dacrycarpus dacrydioides,[],"[""kahikatea""]",,,
DABD,Dacrydium bidwillii,[],"[""New Zealand mountain pine""]",,,
DABI,Dacrydium biforme (Hook.) Pilg.,"[""Halocarpus biformis (Hook.) Quinn"", ""Halocarpus biformis Hook.""]","[""pink pine""]",,,
DACO,Dacrydium colensoi Hook.,"[""Manoao colensoi (Hook.) Molloy""]","[""silver pine""]",,,
DACU,Dacrydium cupressinum Lamb.,[],"[""rimu"", ""red pine""]",,,
DAFR,Dacrydium franklinii Hook f.,[],"[""Huon pine""]",,,
DIGU,Dicorynia guianensis Amsh.,[],"[""angelique""]",,,
DSVI,Diospyros virginiana L.,[],"[""common persimmon""]",,,
DITO,Discaria toumatou,[],[],,,
DITR,Discaria trinervis Reiche.,[],[],,,
DRLA,Dracophyllum latifolium,[],[],,,
DRLO,Dracophyllum longifolium R.Br. ex Roem. & Schult.,[],"[""Inaka""]",,,
