itrdb_species_code,species_name,scientific_aliases,common_names,phylogenetic_group,leaf_habit,tree_ring_structure
LAJA,Larix japonica Carr.,"[""Larix kaempferi (Lamb.) Carr.""]","[""Japanese larch""]",gymnosperm,deciduous,non-porous
LALA,Larix laricina (Du Roi) K. Koch,[],"[""tamarack"", ""eastern larch""]",gymnosperm,deciduous,non-porous
LALY,Larix lyallii Parl.,[],"[""subalpine larch""]",gymnosperm,deciduous,non-porous
LAOC,Larix occidentalis Nutt.,[],"[""western larch""]",gymnosperm,deciduous,non-porous
LAPO,Larix potanini Batal.,[],"[""Chinese larch""]",gymnosperm,deciduous,non-porous
LASI,Larix sibirica Ledeb.,"[""Larix russica (Endl.) Sabine ex Trautv.""]","[""Siberian larch""]",gymnosperm,deciduous,non-porous
LASP,Larix spp. Mill.,[],"[""larch""]",gymnosperm,deciduous,non-porous
LASU,Larix sukachevii,"[""Larix sibirica""]",[],,,
LAPH,Laurelia philippiana,[],"[""tepa""]",,,
LASE,Laurelia sempervirens,[],"[""laurel""]",,,
LAHU,Laxopterigium huasango,[],"[""haltaco""]",,,
LECO,Lecythis corrugata Poit.,[],"[""angelique""]",,,
LEIN,Lepidothamnus intermedius,[],[],,,
LEFL,Leptospermum flavescens,[],"[""tea tree""]",,,
LESC,Leptospermum scoparium,[],[],,,
LIBI,Libocedrus bidwillii Hook. f.,[],"[""New Zealand cedar"", ""pahautea""]",,,
LIDE,Libocedrus decurrens Torr.,"[""Calocedrus decurrens""]",[],,,
LIPL,Libocedrus plumosa (D.Don) Sarg.,[],"[""kawaka"", ""plume incense cedar""]",,,
LISP,Libocedrus spp. Endl.,[],"[""incense-cedar""]",,,
LGVU,Ligustrum vulgare L.,[],[],,,
LIST,Liquidambar styraciflua L.,[],"[""sweetgum""]",,,
LITU,Liriodendron tulipifera L.,[],"[""tuliptree"", ""yellow-poplar"", ""tulip-poplar""]",,,
LOFR,Lomatia fraseri R.Br.,[],"[""tree lomatia"", ""silky lomatia""]",,,
LOHI,Lomatia hitsuta (Lam.) Diel ex. Macbr.,[],"[""radal""]",,,
LOXY,Lonicera xylosteum L.,[],[],,,
LOTR,Lovoa trichilioides Harms,[],"[""dibetou""]",,,
MAAC,Magnolia accuminata L.,[],"[""cucumbertree""]",,,
MAGR,Magnolia grandiflora L.,[],"[""southern magnolia""]",,,
MAVI,Magnolia virginiana L.,[],"[""sweetbay"", ""swampbay""]",,,
MASY,Malus sylvestris L.,[],"[""apple tree""]",,,
MABI,Manilkara bidentata A. Chev.,[],"[""balata franc""]",,,
MICH,Michelia champaca L.,[],[],,,
MINI,Michelia nilagirica Zenk,[],[],,,
MROD,Morisonia odoratissima (Jacq.) Christenh. & Byng,"[""Capparis odoratissima Jacq.""]",[],,,
MOCO,Moronobea coccinea Aubl.,[],"[""mountain manil"", ""manil montagne""]",,,
MOAL,Morus alba L.,[],"[""white mulberry""]",,,
MORU,Morus rubra L.,[],"[""red mulberry""]",,,
MYCE,Myrica cerifera L.,[],"[""southern bayberry""]",,,
MYGA,Myrica gale L.,[],"[""sweet gale"", ""bog myrtle""]",,,
NEAM,Nectandra amazonum,[],[],,,
NEOP,Nectandra oppositifolia Nees & Mart.,[],[],,,
NTLO,Notelaea longifolia Vent.,[],"[""large mock-olive""]",,,
NOAL,Nothofagus alpina,[],"[""rauli""]",,,
NOAN,Nothofagus antarctica (Forst) Oerst.,[],"[""Antarctic beech"", ""nirre""]",,,
NOBE,Nothofagus betuloides (Mirb.) Blume,[],"[""coihue de Magallanes"", ""guindo""]",,,
NOCU,Nothofagus cunninghamii Oerst.,[],"[""myrtle beech"", ""Australian nothofagus""]",,,
NODO,Nothofagus dombeyi (Mirb.) Blume,[],"[""coihue"", ""Dombey's southern beech""]",,,
NOFU,Nothofagus fusca (Hook. f.) Oerst.,[],"[""red beech"", ""New Zealand red beech""]",,,
NOGU,Nothofagus gunnii (Hook. f.) Oerst.,[],"[""tanglefoot beech""]",,,
NOME,Nothofagus menziesii (Hook. f.) Oerst.,[],"[""silver beech"", ""Menzies's red beech""]",,,
NONE,Nothofagus nervosa Dim. et Mil.,[],"[""rauli""]",,,
